IPDB_ID	Genus_species_locus	ABGD_Genus_species_locus
Acanthaster_planciNIO_CR_GW1113.6	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.03	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.7	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.05	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX1_29	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_KRA1197.01	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_JAV1971.02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_04	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_10	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH3_09	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX1_15	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.5	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_JAV1987.06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_27	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_11	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_KRA1196.01	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.8	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.3	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH3_10	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_01	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_05	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.10	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_08	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.4	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_UAE2	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.7	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_UAE5	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_UAE4	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX1_27	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_XI_1	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_UAE1	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH3_08	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_JAV1987.02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_UAE6	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.09	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_JAV1987.19	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1227.02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_UAE8	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
